Reporter Name,Partner Name,Trade Flow,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,Comoros,Export,Export Share in Total Products (%),0.7503,1.0851,1.3496,2.0443,2.5359,2.382,3.2435,3.6287,4.8731,3.3026,6.9151,6.7522,9.2207,9.4732,14.4793,13.5574,15.9158,15.99
China,"Congo, Dem. Rep.",Export,Export Share in Total Products (%),6.732,6.5943,7.887,9.0411,10.4396,12.4368,14.0691,15.8949,24.9495,32.914,35.6758,39.4553,40.5981,43.5903,46.1938,45.4094,45.0758,46.0422
China,"Congo, Rep.",Export,Export Share in Total Products (%),6.461,11.3105,12.927,17.2813,21.3652,24.4309,29.5703,33.0365,33.5504,29.6113,29.5914,32.0954,34.7304,38.2546,40.0497,39.5443,38.5556,37.242
China,Cook Islands,Export,Export Share in Total Products (%),0.4585,0.313,0.2531,2.0021,1.8597,1.5599,1.1163,1.87,2.358,2.9207,2.5595,3.4661,4.1459,4.3636,5.9634,5.3914,5.66,9.3899
China,Costa Rica,Export,Export Share in Total Products (%),15.4648,19.9082,21.6364,23.7092,27.4514,30.7968,33.8248,37.1327,38.7604,41.1818,42.6358,43.1015,44.0417,44.9243,45.6291,48.7255,48.8114,50.0113
China,Cote d'Ivoire,Export,Export Share in Total Products (%),12.3593,15.0459,16.3011,15.0263,18.7658,19.4351,22.3041,27.9608,29.4857,32.8466,33.6551,31.3302,36.9959,39.4529,41.6761,44.259,45.2117,45.8834
China,Croatia,Export,Export Share in Total Products (%),12.2759,14.4407,18.5365,21.6649,26.9653,31.8086,36.2468,41.3179,43.4988,42.6646,42.9502,44.767,44.4042,43.9069,45.1547,45.1387,45.0758,46.3144
China,Cuba,Export,Export Share in Total Products (%),19.5081,21.7654,20.9616,22.7819,24.4505,27.2766,30.0126,32.3909,35.7512,35.5201,38.0332,36.7319,37.8568,38.6842,39.9142,43.7627,43.8986,40.4627
China,Curaçao,Export,Export Share in Total Products (%),,,,,,,,,,,,16.1603,17.1726,17.6125,17.5288,20.3023,21.0777,21.5242
China,Cyprus,Export,Export Share in Total Products (%),21.4464,23.8105,26.3391,29.3572,30.2832,31.7032,34.1196,37.9564,39.4341,38.4857,38.4149,38.6226,37.6982,38.0059,38.1748,37.6269,39.3253,39.0565
China,Czech Republic,Export,Export Share in Total Products (%),24.4894,26.9616,30.852,36.5227,38.0811,40.4511,42.3336,47.9964,48.7986,47.0905,48.6978,50.0113,50.3851,51.3678,53.1059,52.6731,52.7507,53.3001
China,Denmark,Export,Export Share in Total Products (%),31.1588,33.8481,36.6934,39.6207,42.7303,46.9435,48.8837,51.5361,52.5713,51.9659,52.4248,52.7121,52.6507,52.6113,53.8514,53.8236,53.7922,54.1393
China,Djibouti,Export,Export Share in Total Products (%),8.837,10.2462,12.9692,13.1928,17.1809,19.9621,22.7043,25.3339,27.7566,31.184,33.4531,35.0439,38.7857,41.1485,42.173,46.2215,46.7059,48.7412
China,Dominica,Export,Export Share in Total Products (%),13.3806,18.0509,14.825,14.9631,16.5258,17.0953,19.6083,20.7035,20.1886,12.177,14.0997,14.7423,14.0236,14.9898,18.5227,16.4448,18.6552,16.1034
China,Dominican Republic,Export,Export Share in Total Products (%),15.2772,13.9816,21.0881,22.7187,27.8318,30.5228,34.0564,37.2217,39.1871,40.0359,42.9951,43.3941,44.2003,45.286,47.7524,48.3645,50.2604,50.9413
China,East Timor,Export,Export Share in Total Products (%),,,,4.0042,2.4303,2.1501,3.4962,8.0588,8.3988,12.0647,15.6938,15.5976,16.2211,16.4594,20.6912,23.8213,26.9866,27.3305
China,Ecuador,Export,Export Share in Total Products (%),18.6953,24.7705,29.2071,30.3688,33.5799,37.1627,40.7329,45.4141,46.9347,48.124,50.0898,52.217,53.8061,55.3697,56.4717,55.7861,56.0109,58.6981
China,"Egypt, Arab Rep.",Export,Export Share in Total Products (%),41.3089,41.5484,43.9055,46.6386,50.8453,54.7639,58.8458,63.1567,64.3162,64.727,65.7836,63.8533,64.522,64.4359,65.7782,66.614,66.4025,66.7952
China,El Salvador,Export,Export Share in Total Products (%),12.1509,16.3189,17.9882,20.9273,22.2527,24.7049,28.433,32.5245,32.5623,33.3633,34.5083,36.8895,37.1998,39.2268,40.637,41.8001,43.2873,44.4318
China,Equatorial Guinea,Export,Export Share in Total Products (%),3.1888,2.7755,3.7115,5.3319,8.2629,8.6847,11.2047,15.2493,19.2005,23.5453,25.0561,26.3561,27.6393,28.2161,31.1724,29.8895,26.3074,26.8995
China,Eritrea,Export,Export Share in Total Products (%),2.7095,4.3823,4.6183,2.6976,4.2054,3.1408,4.5703,5.1425,8.7806,9.8405,9.8788,15.395,13.1853,15.7811,20.6009,15.2042,16.8214,16.489
China,Estonia,Export,Export Share in Total Products (%),8.3576,11.0601,15.1835,19.3678,22.5909,27.4663,31.0236,35.1736,36.38,36.0144,37.5393,39.7479,40.8246,40.5155,41.9697,40.5143,41.4535,43.2298
China,Ethiopia(excludes Eritrea),Export,Export Share in Total Products (%),17.0696,21.8489,24.8208,26.9336,27.7473,30.6071,32.3505,39.1585,38.2439,37.4073,39.9192,40.3106,40.802,43.4773,48.159,49.1541,50.9169,53.9125
China,Faeroe Islands,Export,Export Share in Total Products (%),,,,,,,0.0632,0.4675,0.6288,0.5617,0.6511,0.3601,0.6797,0.6104,2.3492,2.6167,3.5544,3.5155
China,Fiji,Export,Export Share in Total Products (%),12.6094,15.505,15.9848,17.2813,19.3576,21.9224,22.957,23.8424,26.9257,30.1955,31.6569,32.253,35.7046,36.9659,39.5753,41.2813,44.5778,44.4772
China,Finland,Export,Export Share in Total Products (%),28.9912,32.3038,35.5546,38.8409,42.7303,46.5008,47.8728,51.6251,51.8527,52.1456,52.0656,53.815,53.4662,52.8148,52.7445,52.2896,51.2791,51.4856
China,Fm Sudan,Export,Export Share in Total Products (%),19.5915,23.0593,26.5289,29.1886,31.5934,35.6872,39.5956,44.5904,44.4419,45.3606,46.3628,47.2654,,,,,,
China,France,Export,Export Share in Total Products (%),50.2084,52.7755,54.0911,56.9652,59.7633,63.1535,65.3749,69.39,69.7956,70.2089,70.5209,70.4254,70.299,70.4047,71.1091,70.3812,71.4965,71.853
China,French Polynesia,Export,Export Share in Total Products (%),2.7928,4.0275,4.3442,7.1654,9.869,10.3499,12.4263,16.3624,16.7528,18.1308,18.9717,19.4688,20.2764,21.8178,22.6338,22.0844,23.2511,24.1098
China,Gabon,Export,Export Share in Total Products (%),5.3356,6.49,5.272,8.451,9.3829,12.2049,16.7018,18.4105,22.7936,22.1973,26.044,27.549,30.5392,32.6475,33.7926,34.3109,32.6466,34.3389
China,"Gambia, The",Export,Export Share in Total Products (%),6.3151,6.4065,6.938,8.5564,9.721,10.7083,11.4364,14.6483,15.0236,14.9629,14.863,16.4303,16.8328,18.9238,21.143,21.746,22.5492,25.584
China,Georgia,Export,Export Share in Total Products (%),2.8345,3.7354,3.5639,7.882,11.0101,15.5354,20.6192,29.163,30.5861,31.7232,33.7449,39.5904,41.9121,43.2738,44.2512,44.7327,45.3249,47.5618
China,Germany,Export,Export Share in Total Products (%),60.7753,61.7696,64.6984,67.2708,70.5833,74.2201,75.5897,78.7845,78.419,78.1397,79.075,79.4958,79.565,79.064,79.2184,79.3594,80.0317,79.7233
China,Ghana,Export,Export Share in Total Products (%),20.7586,23.6018,24.7364,28.2192,32.5232,35.1813,38.7953,44.4346,45.475,46.2368,46.767,49.8537,52.1976,52.2496,53.9869,55.1996,56.758,56.4981
China,Gibraltar,Export,Export Share in Total Products (%),0.8754,0.7095,0.717,0.9484,0.7819,0.7589,0.8635,1.2244,1.5495,1.4154,1.2348,2.0032,1.5179,1.2435,3.4561,3.4288,3.5092,4.0599
China,Greece,Export,Export Share in Total Products (%),35.2855,37.813,42.0076,44.8261,47.9713,50.7167,53.4751,57.057,56.7483,54.3249,53.7045,54.1976,53.0358,54.5557,55.9521,55.0643,57.9805,57.2692
China,Greenland,Export,Export Share in Total Products (%),0.4585,0.3756,0.1687,0.6533,0.5072,0.3794,0.6108,0.4007,0.3593,0.1573,0.4266,0.6302,0.5211,0.927,1.3101,1.0602,2.3545,2.5629
China,Grenada,Export,Export Share in Total Products (%),0.9379,0.313,0.8646,1.2434,1.2257,2.8035,4.781,4.5859,6.737,6.1559,6.7131,6.5046,8.3598,8.4332,15.1344,9.5872,12.882,14.4477
China,Guatemala,Export,Export Share in Total Products (%),18.3201,20.6594,24.7786,28.5985,32.1851,35.3078,39.2165,42.4533,43.9479,43.1588,45.5995,46.7252,48.5048,48.5869,50.7341,51.7031,52.7507,53.3681
China,Guinea,Export,Export Share in Total Products (%),8.316,9.0985,10.3121,12.8346,13.5461,16.4418,20.5771,24.3989,25.5109,23.7924,26.7625,27.594,31.3548,32.6927,34.4025,34.8071,37.4462,40.8029
China,Guinea-Bissau,Export,Export Share in Total Products (%),2.4385,2.0868,1.8136,2.9294,3.5292,3.9629,4.6335,6.634,4.6036,6.8749,6.1742,7.9676,12.8455,8.1167,10.052,7.6246,10.3917,8.8455
China,Guyana,Export,Export Share in Total Products (%),8.045,9.182,10.5863,9.9473,11.7498,13.3642,16.0278,19.4123,18.7289,20.1977,21.7557,24.0828,26.5292,28.6683,30.1107,29.1225,30.9486,32.411
China,Haiti,Export,Export Share in Total Products (%),3.96,4.9875,6.6006,7.0601,7.6289,8.9376,11.5838,13.6242,16.9549,19.8832,20.5658,22.9575,23.4481,25.5031,26.6998,27.0471,28.1413,30.1656
China,Holy See,Export,Export Share in Total Products (%),,,,,0.0423,,,0.0668,0.0449,0.0225,0.0225,,0.0227,,0.0904,0.0451,0.2943,0.6351
China,Honduras,Export,Export Share in Total Products (%),13.5473,13.8982,15.542,19.0095,21.2806,22.4073,26.8745,30.4319,31.417,29.4765,31.9264,35.3365,38.1513,38.232,37.6327,40.6722,42.0874,43.8648
China,"Hong Kong, China",Export,Export Share in Total Products (%),86.8904,86.4775,87.1784,87.2076,87.5951,87.6897,87.8475,88.2235,87.2895,86.2053,86.5514,86.4506,86.2483,86.3215,86.763,87.2547,86.6425,86.6863
China,Hungary,Export,Export Share in Total Products (%),27.7407,26.2312,29.9663,34.8156,36.8555,38.4275,41.7439,44.2787,45.4076,45.1359,44.7463,45.8699,44.9252,45.6025,47.3232,47.3945,48.1322,52.5289
China,Iceland,Export,Export Share in Total Products (%),4.9396,5.9891,7.6972,10.411,12.2992,14.8398,16.1963,18.4105,17.943,17.2321,20.1617,20.3241,20.435,21.0491,22.2724,24.5658,25.9226,25.2892
China,India,Export,Export Share in Total Products (%),45.9983,51.3356,55.8414,60.9905,65.1099,69.4351,72.1356,75.4007,76.1958,76.5895,77.7952,78.483,78.4776,78.3405,78.9925,78.8405,79.6468,80.8347
China,Indonesia,Export,Export Share in Total Products (%),60.1084,62.2496,64.9726,67.7766,70.6044,71.5852,73.0834,76.024,75.7691,75.8257,77.885,78.9332,79.0666,79.3127,80.1672,79.788,79.7374,80.5398
China,"Iran, Islamic Rep.",Export,Export Share in Total Products (%),29.8875,35.0793,42.6824,46.2592,51.2257,55.9233,59.8989,63.1567,63.8221,66.0975,66.996,68.8274,66.425,66.4707,69.8215,68.2833,69.2552,69.3581
China,Iraq,Export,Export Share in Total Products (%),5.0229,6.7404,6.7482,5.9431,10.0169,20.6155,25.5265,32.0347,35.2122,38.7553,44.4095,43.6867,47.1001,50.6896,51.1859,51.8159,52.23,54.1393
China,Ireland,Export,Export Share in Total Products (%),20.0917,21.7863,25.4534,28.8303,32.5866,35.7504,37.9949,41.919,42.4433,41.0919,41.0642,40.9408,41.1645,42.166,44.9288,44.9357,46.1626,45.2937
China,Israel,Export,Export Share in Total Products (%),39.975,42.4666,45.5926,48.725,53.339,55.059,58.6352,61.732,62.8116,62.3006,63.4037,63.6282,64.0689,64.8655,65.8008,66.975,67.5345,67.5437
China,Italy,Export,Export Share in Total Products (%),54.3143,57.4082,60.8182,63.5195,66.7371,69.9199,72.1356,74.5993,74.1298,73.4666,73.8662,74.8368,74.2864,74.1578,75.0621,74.9831,75.2547,75.8902
China,Jamaica,Export,Export Share in Total Products (%),11.3589,13.4391,14.9304,16.2698,19.3364,20.1728,22.9992,27.4711,27.8015,28.2633,29.4118,32.8832,34.2546,36.7624,37.8134,37.2434,38.5329,39.2152
China,Japan,Export,Export Share in Total Products (%),81.534,83.0134,83.6567,85.353,86.0313,86.2774,87.2157,87.1772,87.1323,86.4525,86.529,87.0583,87.4037,87.0902,86.379,86.8712,86.9821,86.4142
China,Jordan,Export,Export Share in Total Products (%),31.6173,33.9107,36.1451,37.3656,40.8495,43.3811,45.8509,49.7329,52.7285,54.4147,52.9187,55.0754,54.9388,57.3366,57.1041,55.9892,56.3957,56.4981
China,Kazakhstan,Export,Export Share in Total Products (%),18.4869,14.9624,22.6698,26.5121,31.0651,41.231,44.6293,51.0018,52.0773,52.0782,54.8496,55.458,56.6833,58.2184,59.9051,58.4706,58.1843,61.2611
China,Kenya,Export,Export Share in Total Products (%),22.03,25.1461,27.1194,31.4015,35.1648,37.0784,41.3648,46.26,47.4512,49.7192,51.7961,54.2651,55.7091,56.8392,59.4308,60.5233,60.9011,61.3291
China,Kiribati,Export,Export Share in Total Products (%),1.2505,0.48,0.6326,1.6017,2.3035,2.7403,2.9275,3.5841,3.0766,3.5722,4.3781,5.4243,5.6185,5.2001,7.7479,7.8051,10.6181,9.8435
China,"Korea, Dem. Rep.",Export,Export Share in Total Products (%),40.6211,45.1377,47.6592,49.5258,54.0152,60.5185,60.6571,60.886,60.9926,62.0759,67.198,66.2165,66.1985,64.3002,64.1066,63.4785,64.2518,64.958
China,"Korea, Rep.",Export,Export Share in Total Products (%),75.3856,77.212,79.5656,81.1591,82.5444,84.2538,85.6782,86.9101,86.0094,85.1494,85.2492,85.1227,85.4554,85.5076,86.3113,85.9012,86.552,85.7564
China,Kuwait,Export,Export Share in Total Products (%),25.2814,28.4641,31.1261,33.7619,35.989,39.5025,42.4179,47.5735,46.2834,48.5958,49.8204,49.7862,49.7281,50.8478,53.6255,53.0566,53.5431,53.6176
China,Kyrgyz Republic,Export,Export Share in Total Products (%),8.3993,8.6185,15.2678,18.7355,19.5689,25.8432,27.7591,31.5672,30.9454,34.8461,33.0938,35.0214,37.7889,39.9503,41.8116,42.9055,44.7815,45.7247
China,Lao PDR,Export,Export Share in Total Products (%),9.4831,11.1018,9.5108,11.6333,15.0042,15.3879,15.2064,18.5218,20.3458,24.062,27.5483,28.4267,33.3937,31.8788,33.5893,34.3109,35.703,41.6648
China,Latvia,Export,Export Share in Total Products (%),11.8174,14.3155,18.8317,23.2455,26.6061,30.9865,34.5619,39.4479,40.1752,37.632,42.1643,44.497,45.0838,46.0321,46.9618,45.3643,46.7285,46.7907
China,Lebanon,Export,Export Share in Total Products (%),29.0746,32.8464,34.8587,38.6512,41.1031,42.6433,43.9764,48.3526,50.7074,52.2355,53.6372,52.9822,53.1038,55.6862,55.8618,55.8989,56.5542,56.4981
China,Lesotho,Export,Export Share in Total Products (%),1.2922,2.0451,2.4462,3.372,3.191,3.204,4.0227,5.8103,9.0052,8.8519,8.1724,9.7007,13.9783,15.7359,18.6582,14.5274,13.3575,13.0415
China,Liberia,Export,Export Share in Total Products (%),4.2518,6.4065,4.4918,5.4373,8.9814,11.2142,13.3951,17.2752,20.256,20.1528,20.8801,24.3079,27.6846,31.1101,28.4843,30.3632,30.5185,31.4811
China,Libya,Export,Export Share in Total Products (%),8.1284,11.4983,17.9249,19.1359,22.2105,27.1922,30.7919,34.2609,40.2201,43.1364,44.8361,32.2305,40.6661,43.9069,43.2347,38.5292,35.8841,34.5203
China,Lithuania,Export,Export Share in Total Products (%),11.0671,15.6302,19.865,25.4373,29.142,32.8415,36.3732,41.0508,44.5991,43.406,46.1608,48.9309,50.725,51.2548,52.3379,49.921,50.9396,51.4402
China,Luxembourg,Export,Export Share in Total Products (%),3.7724,4.1528,4.7448,6.1328,7.1851,9.3803,11.0362,11.9546,12.194,12.1995,13.2465,14.1346,14.2728,13.4976,14.276,15.7004,16.8893,18.3035
China,Macao,Export,Export Share in Total Products (%),38.1826,40.8806,41.8811,45.6691,47.4429,49.0093,49.3892,50.1558,48.2371,47.0456,48.1141,48.3682,49.0485,50.3957,53.761,51.9062,52.9771,54.2753
China,"Macedonia, FYR",Export,Export Share in Total Products (%),3.2305,3.2346,4.3652,6.7018,8.0093,8.769,10.5097,14.3366,16.2362,14.918,14.7957,16.3853,17.8296,17.929,20.646,21.4302,23.0473,23.6335
China,Madagascar,Export,Export Share in Total Products (%),19.3831,21.7028,16.5542,23.3509,25.0211,27.1079,28.4962,32.9029,37.2558,37.6545,37.3821,37.8573,39.1708,41.1712,43.7994,43.4243,44.623,46.9494
China,Malawi,Export,Export Share in Total Products (%),3.5015,3.1511,4.9768,6.6386,7.8614,9.1695,12.0051,12.7783,16.7078,19.7933,19.4207,23.3851,24.4223,26.8822,28.9135,29.7767,30.2468,30.279
China,Malaysia,Export,Export Share in Total Products (%),63.2347,65.4007,67.8827,70.8114,72.8656,74.747,76.8324,79.5191,78.5987,78.9935,79.2546,80.2836,80.879,81.5284,81.8839,82.2468,81.8882,82.4223
China,Maldives,Export,Export Share in Total Products (%),2.2093,2.8589,5.5462,6.491,8.6855,10.1391,11.8997,14.7373,17.898,20.2876,22.0251,23.025,24.1504,25.8874,29.1168,33.9499,36.9255,38.807
China,Mali,Export,Export Share in Total Products (%),5.3981,5.5301,4.2598,6.2803,10.5875,13.6804,13.4162,13.2235,16.2138,20.2651,19.6228,23.9703,19.4382,21.5465,22.679,22.6709,25.4698,27.8294
China,Malta,Export,Export Share in Total Products (%),14.9646,16.1728,18.8528,19.726,21.4074,22.618,24.305,26.9145,28.6998,30.8245,30.9834,31.1726,32.0118,34.1623,33.4538,34.3109,33.8465,34.8378
China,Marshall Islands,Export,Export Share in Total Products (%),4.2518,3.9858,1.8979,4.8683,4.776,5.8179,4.6125,7.992,8.4213,6.0661,6.062,6.7522,5.9357,7.0993,7.9512,9.0458,11.2293,12.2477
China,Mauritania,Export,Export Share in Total Products (%),5.3356,6.2604,6.9802,9.2097,9.6365,10.2867,13.8585,15.5387,19.8967,20.3999,23.4621,25.7484,28.6815,30.7484,32.9343,32.2355,33.5975,35.8812
