Date,Median,Upper,Lower
1863/04,-0.244,-0.315,-0.176
1863/05,-0.329,-0.406,-0.279
1863/06,-0.402,-0.478,-0.336
1863/07,-0.423,-0.51,-0.358
1863/08,-0.326,-0.397,-0.263
1863/09,-0.316,-0.393,-0.25
1863/10,-0.384,-0.453,-0.325
1863/11,-0.329,-0.406,-0.266
1863/12,-0.341,-0.423,-0.262
1864/01,-0.941,-1.014,-0.873
1864/02,-0.632,-0.704,-0.562
1864/03,-0.507,-0.588,-0.443
1864/04,-0.548,-0.616,-0.483
1864/05,-0.454,-0.544,-0.399
1864/06,-0.165,-0.242,-0.102
1864/07,-0.159,-0.239,-0.1
1864/08,-0.311,-0.391,-0.252
1864/09,-0.445,-0.525,-0.384
1864/10,-0.706,-0.788,-0.643
1864/11,-0.472,-0.544,-0.412
1864/12,-0.615,-0.694,-0.541
1865/01,-0.101,-0.176,-0.032
1865/02,-0.615,-0.702,-0.542
1865/03,-0.646,-0.729,-0.578
1865/04,-0.236,-0.31,-0.17
1865/05,-0.265,-0.353,-0.207
1865/06,-0.285,-0.367,-0.216
1865/07,-0.136,-0.218,-0.061
1865/08,-0.21,-0.292,-0.151
1865/09,-0.085,-0.17,-0.017
1865/10,-0.27,-0.378,-0.204
1865/11,-0.2,-0.287,-0.145
1865/12,-0.342,-0.425,-0.269
1866/01,0.037,-0.051,0.104
1866/02,-0.216,-0.302,-0.156
1866/03,-0.596,-0.686,-0.525
1866/04,-0.265,-0.362,-0.201
1866/05,-0.53,-0.636,-0.467
1866/06,0.098,0.007,0.159
1866/07,0.018,-0.074,0.087
1866/08,-0.273,-0.353,-0.213
1866/09,-0.232,-0.318,-0.163
1866/10,-0.425,-0.522,-0.353
1866/11,-0.309,-0.396,-0.238
1866/12,-0.334,-0.438,-0.266
1867/01,-0.313,-0.411,-0.24
1867/02,0.007,-0.079,0.08
1867/03,-0.714,-0.805,-0.646
1867/04,-0.266,-0.355,-0.2
1867/05,-0.546,-0.639,-0.483
1867/06,-0.304,-0.391,-0.242
1867/07,-0.247,-0.335,-0.177
1867/08,-0.234,-0.325,-0.164
1867/09,-0.103,-0.192,-0.036
1867/10,-0.186,-0.276,-0.116
1867/11,-0.314,-0.409,-0.243
1867/12,-0.628,-0.725,-0.562
1868/01,-0.7,-0.81,-0.622
1868/02,-0.471,-0.57,-0.383
1868/03,-0.079,-0.182,-0.005
1868/04,-0.381,-0.459,-0.31
1868/05,-0.077,-0.183,-0.023
1868/06,-0.178,-0.274,-0.114
1868/07,0.138,0.047,0.202
1868/08,-0.041,-0.136,0.021
1868/09,-0.202,-0.282,-0.142
1868/10,-0.238,-0.317,-0.17
1868/11,-0.505,-0.587,-0.442
1868/12,-0.131,-0.227,-0.064
1869/01,-0.249,-0.346,-0.186
1869/02,0.258,0.17,0.315
1869/03,-0.591,-0.672,-0.528
1869/04,-0.221,-0.292,-0.151
1869/05,-0.281,-0.36,-0.225
1869/06,-0.376,-0.451,-0.32
1869/07,-0.293,-0.372,-0.237
1869/08,-0.084,-0.151,-0.03
1869/09,-0.196,-0.256,-0.138
1869/10,-0.417,-0.488,-0.361
1869/11,-0.371,-0.441,-0.311
1869/12,-0.358,-0.432,-0.291
1870/01,-0.082,-0.163,-0.009
1870/02,-0.453,-0.523,-0.394
1870/03,-0.4,-0.467,-0.339
1870/04,-0.206,-0.262,-0.141
1870/05,-0.168,-0.247,-0.115
1870/06,-0.216,-0.283,-0.164
