UNODC Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mauritania, 13.7 ,,,,, 12.4 ,,,,, 10.9 ,,,,, 9.9 ,
Niger,,,,,,,,,,,, 4.9 , 4.4 ,,,,
Nigeria, 12.8 ,,,,, 11.8 ,,,,, 10.7 ,,,,, 9.8 ,
Saint Helena, -   , -   , -   , -   , 22.7 , -   , -   , -   , -   , -   ,,,,,,,
Senegal, 10.0 ,,,,, 9.3 ,,,,, 8.5 ,,,,, 7.4 ,
Sierra Leone,,,,, 2.1 , 1.7 , 1.7 , 2.2 , 3.0 , 2.5 , 2.5 , 2.8 , 1.7 ,,, 1.7 ,
Togo, 10.5 ,,,,, 10.7 ,,,,, 9.6 ,,,,, 9.0 ,
Anguilla, 9.0 , -   , 17.1 , 16.6 , 8.1 , -   , 38.8 , 30.4 , 7.5 , 7.4 , -   , -   , 35.4 , 7.0 , 27.7 ,,
Antigua and Barbuda, 6.0 , 8.2 , 5.8 , 5.7 , 4.5 , 3.4 , 12.2 , 18.6 , 17.3 , 17.1 , 6.3 ,, 10.3 ,,,,
Aruba,, 4.3 , 5.3 , 4.1 , 2.0 , 6.0 , 5.0 , 3.0 , 4.9 , 3.9 , 3.9 , 2.0 , 3.9 , 5.8 , 1.9 ,,
Bahamas, 24.8 , 14.2 , 16.8 , 15.8 , 13.6 , 15.8 , 18.2 , 22.8 , 20.9 , 24.5 , 26.1 , 34.6 , 29.8 , 31.5 , 32.2 , 37.7 , 28.4 
Barbados, 7.4 , 9.2 , 9.2 , 12.1 , 8.1 , 10.6 , 12.7 , 9.1 , 8.3 , 6.8 , 11.1 , 9.6 , 7.8 , 8.5 , 8.8 , 10.9 ,
British Virgin Islands,, 4.7 , 4.6 , 9.1 , 17.7 ,, 8.4 ,,,,,,,,,,
Cayman Islands, 9.6 , 4.6 , -   , 6.5 , 10.6 , 6.2 , 2.0 , 3.9 , 7.6 , 14.7 , 16.2 ,,, 8.6 , 8.4 ,,
Cuba, 5.3 , 5.4 , 5.9 , 5.7 , 5.9 , 6.1 , 5.1 , 5.0 , 4.6 , 5.0 , 4.5 , 4.7 , 5.5 , 5.9 , 5.2 , 5.4 , 5.0 
Curaçao,, 7.7 , 30.3 , 33.6 , 32.0 , 20.1 , 13.6 , 19.2 ,,,,,,,,,
Dominica, 2.9 , 1.4 , 12.9 , 11.4 , 11.4 , 11.3 , 7.1 , 9.9 , 9.8 , 18.3 , 21.0 , 8.4 ,,,,,
Dominican Republic, 14.1 , 12.6 , 14.5 , 21.2 , 24.6 , 25.9 , 22.9 , 22.2 , 24.8 , 24.3 , 25.0 , 25.1 , 22.3 , 19.2 , 17.4 ,, 15.2 
