"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Australia","AUS","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","111363907.1804","104498074.1686","128771023.6581","255864630.5528","240884044.4431","161021952.6595","267633242.2484","266127020.209","235789936.3482","343154404.9513","460008835.8133","733152152.0544","692794029.1907","518013351.2311","1403222409.4356","1886318083.093","3418517751.0244","5099497262.2499","6845793844.8797","3024469774.87597","633078140.353983","-1172055088.81485","3835344660.46716","2545789066.23014","1827817069.01995","4045649269.07914","5006395609.78187","6082141450.05904","4666647575.31934","311364927.775296","4095019475.21023","13380829228.7871","6974350065.65034","18597832802.7514","9785047534.0305","-32713394186.5094","24082532470.0581","14420781947.9789","31887673440.919","11463844142.2403","18068580537.9747","8250639449.1207","5763649125.05455","-769705628.088571","22565879021.4598","6824001495.55202","-5933455284.9649","4494928044.1393","",
"Austria","AUT","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","8650000","36120000","38370000","38760000","19730000","25830000","56210000","86100000","89810000","84860000","100720000","210940000","139300000","188630000","70310000","43500326.2524","294751459.0197","316393118.4497","283453598.6459","861632415.5185","1701000000","1293000000","1760037971.7","1178548266","1241015510.32","1083552867.98","1889080720.5","1998372400.84","2768044080.85","3300911863.8181","5509489589.0916","3021896895.7772","5780433861.9359","6859781904.5319","8029899486.5682","81481738612.3697","16078718614.2898","79062461943.11","27908876547.0296","15557668858.9489","-14324686543.7389","38119729596.2643","18449664071.4901","11029791921.2026","-874310179.935755","-2135474860.17035","-26904481530.696","15602071507.6177","",
"Azerbaijan","AZE","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3899260.3521","4000","20000","","760000","593066000","957756000","1655583000","2367824000","4017245000","5775441000","9628755000","4527631000","2752849000","3021842000","3552538000","4480843000","1477887000","1987073000","3209378000","2573601000","2564380648.1","",
"Burundi","BDI","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","-1128364.0406","134312.6216","107140.6569","54394.6824","50420.1680672269","5839.23136251165","27546.2995907997","","135925.529285773","102904.071637065","600582.565088136","","","","-238660.308306532","-11683240.6730743","-9152.73016306311","","-4618.42567105725","","0","0","35031.945726051","581517.525999261","0","0","0","0","166742.671515973","27413.4386193281","152172.691406039","36443.2661547015","9947.63035299629","",
"Belgium","BEL","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","174000000","206000000","177000000","269000000","479000000","237820000","351810000","465210000","559770000","1340680000","196030000","103790000","-69060000","354720000","292870000","296490000","1723000000","2782240000","3784150000","6486240000","6314440000","6270930000","11407000000","4903560000","1371380000","11603000000","8026120000","7252120000","28845300000","122304174000","86361710000","","8902187720.87387","39043181696.6322","34681967606.3513","32544628301.5083","50139553130.9025","83492276940.3367","223390463946.758","24741595176.8877","58046301011.2292","126119793398.589","33854908612.9971","-23519963650.5498","-14175650395.0957","-7927151977.04149","14307630846.1357","-8401066356.03566","",
"Benin","BEN","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","197441.121450697","","29440.8318393629","529509.096588577","543212.935373285","473731.187111418","","","","-21662039.8992973","-63214656.2718651","-65331621.2266846","-120386984.294013","-76617409.1622505","-23039767.5127818","-20756308.6014432","-21067881.7247822","-28257123.1111139","-1692739.15473124","-21454296.0045888","-28509054.3228941","-68916622.3119233","-24828163.6291476","-31462512.4017421","-33802459.3782162","-105855778.956752","-62214183.8240917","-67281823.376204","-122330614.451245","-125811386.312223","-121831152.505573","-141262358.140258","59649547.1054956","40335564.0706905","58572945.1190582","17255303.3652495","32674494.1364822","17367318.7771298","22700590.1261","",
"Burkina Faso","BFA","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","380000","680000","250000","370000","770000","360000","30000","30000","230000","30000","10000","30000","40000","107140.6569","167871.4239","783681.8628","-550940.4198","133537.6223","122093.0218","1553875.3298","6844318.7651","200341.3817","654869.8862","1046826.1977","5264835.1052","193276.26","167140.4654","597512.5471","1715954.9375","1918444.5974","-8947821.725","17762210.1489491","49274215.6075125","-315248219.758305","-70783001.3301357","-14650997.149748","682446.358861802","102238746.456425","72959882.7968123","58290417.4099249","69453805.5554736","14094258.7719912","50468932.6134472","34147844.732","",
"Bangladesh","BGD","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500000","400000","100000","200000","200000","1700000","12500000","3065618.98107978","3002160.47562861","59964","2000000","20600000","2642487.04663212","2777817.74045039","4068822.75137983","1974048.40022184","3594819.61684403","134263505.527298","190660725.287633","180829229.559783","66442085.5139596","297434389.821033","289058929.515111","546876802.618094","41769923.686296","59902023.7533623","40516462.3424691","157708460.241047","",
"Bulgaria","BGR","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","6119985.0895","15373928.0956","2203748.7087","-2506000","-6070000","-2714000","-3211000","180000","-8000000","-28500000","-1700000","73000","17116991.9768362","3283925.31454843","9660636.65710261","28337940.9346759","26502802.4409685","193372711.500834","93336878.434472","291720179.61387","972188167.931062","1117476023.76507","361246920.091906","589250000","492370000","409980000","351540000","882360000","101280000","853530000","949520000","",
"Bahrain","BHR","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","6000000","0","0","-7387291.965","27089541.7477","18080355.4927","25579744.2325","26892680.5534","299468085.106383","50000000","52925531.9148936","38829788.3528086","198670231.259197","-16075846.9189002","304822100.055748","47645547.0378818","180824282.121401","163351440.877198","9552708.2940005","215955646.82579","190030175.710313","741354602.995811","1035638297.87234","1135372340.42553","980053191.489362","1669148936.17021","1620478723.40426","-1791489361.70213","334042553.191489","893617021.276596","-515957446.808511","-531648936.170213","394414893.617021","-3190957446.80851","880053191.489362","-228989361.702128","",
"Bahamas, The","BHS","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","115000000","-38000000","-76000000","-41000000","6000000","31016841.2543","129342858.2561","21918953.5944","-162907702.1735","400000","200000","-1300000","300000","300000","100000","200000","-300000","400000","1000000","200000","140132000","94373000","39855000","71534000","169275000","142805000","332713000","459230000","409594000","216299000","149852000","524028000","131678000","277142000","397479000","158129000","358587408.19","132259148.416","",
"Bosnia and Herzegovina","BIH","Foreign direct investment, net outflows (BoP, current US$)","BM.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181284991.844527","16438936.1986536","81830913.8164162","64598955.7011762","39447629.0934208","-93487591.8168378","81179825.2187501","-4825509.47064913","59600579.0002175","86262100.8336489","9961409.46481502","94733811.3525706","186633.633107584","94911436.6386512","",
