,Iceland,Finland,Norway,Sweden,Philippines,Ireland,New Zealand,Denmark,Switzerland,Nicaragua,Belgium,Latvia,Netherlands,Germany,Cuba,Lesotho,South Africa,United Kingdom,Austria,Canada,Luxembourg,Burundi,United States,Australia,Ecuador,Mozambique,Bolivia,Lithuania,Barbados,Spain,Costa Rica,Kazakhstan,Mongolia,Argentina,Colombia,Trinidad and Tobago,Panama,Slovenia,Malawi,Bahamas,Cape Verde,Serbia,Bulgaria,Namibia,France,Uganda,Jamica,Guyana,Croatia,Venezuela,Portugal,Moldova,Israel,Poland,Sri Lanka,Madagascar,"Macedonia, FYR",Singapore,Estonia,Lao PDR*,Russian Federation,Brazil,Kyrgyz Republic,Ukraine,Thailand,Tanzania,Senegal,Mexico,China,Romania,Italy,Dominican Republic,Vietnam,Slovak Republic,Bangladesh,Ghana,Uruguay,Kenya,Cyprus,Peru,Greece,Honduras,Czech Republic,Malta,Botswana,Georgia,Hungary,Brunei Darussalam,Paraguay,Tajikistan,Chile,Angola*,Bhutan*,Armenia,Indonesia,El Salvador,Maldives,Mauritius,Azerbaijan,Cameroon,India,Malaysia,Burkina Faso,Cambodia,Japan,Nigeria,Belize,Albania,United Arab Emirates,Suriname,"Korea, Rep.",Bahrain,Zambia,Guatemala,Qatar,Kuwait,Fiji,Ethiopia,Jordan,Turkey,Nepal,Oman,Lebanon,Algeria,Egypt,Benin,Saudi Arabia,Mali,Morocco,"Iran, Islamic Rep.",C»te d'Ivoire,Mauritania,Syria,Chad,Pakistan,Yemen
2013 Score,0.8731,0.8421,0.8417,0.8129,0.7832,0.7823,0.7799,0.7779,0.7736,0.7715,0.7684,0.761,0.7608,0.7583,0.754,0.753,0.751,0.744,0.7437,0.7425,0.741,0.7397,0.7392,0.739,0.7389,0.7349,0.734,0.7308,0.7301,0.7266,0.7241,0.7218,0.7204,0.7195,0.7171,0.7166,0.7164,0.7155,0.7139,0.7128,0.7122,0.7116,0.7097,0.7094,0.7089,0.7086,0.7085,0.7085,0.7069,0.706,0.7056,0.7037,0.7032,0.7031,0.7019,0.7016,0.7013,0.7,0.6997,0.6993,0.6983,0.6949,0.6948,0.6935,0.6928,0.6928,0.6923,0.6917,0.6908,0.6908,0.6885,0.6867,0.6863,0.6857,0.6848,0.6811,0.6803,0.6803,0.6801,0.6787,0.6782,0.6773,0.677,0.6761,0.6752,0.675,0.6742,0.673,0.6724,0.6682,0.667,0.6659,0.6651,0.6634,0.6613,0.6609,0.6604,0.6599,0.6582,0.656,0.6551,0.6518,0.6513,0.6509,0.6498,0.6469,0.6449,0.6412,0.6372,0.6369,0.6351,0.6334,0.6312,0.6304,0.6299,0.6292,0.6286,0.6198,0.6093,0.6081,0.6053,0.6053,0.6028,0.5966,0.5935,0.5885,0.5879,0.5872,0.5845,0.5842,0.5814,0.581,0.5661,0.5588,0.5459,0.5128
2012 Score,0.864,0.8451,0.8403,0.8159,0.7757,0.7839,0.7805,0.7777,0.7672,0.7697,0.7652,0.7572,0.7659,0.7629,0.7417,0.7608,0.7496,0.7433,0.7391,0.7381,0.7439,0.7338,0.7373,0.7294,0.7206,0.735,0.7222,0.7191,0.7232,0.7266,0.7225,0.7213,0.7111,0.7212,0.6901,0.7116,0.7122,0.7132,0.7166,0.7156,0.718,0.7037,0.7021,0.7121,0.6984,0.7228,0.7035,0.7119,0.7053,0.706,0.7071,0.7101,0.6989,0.7015,0.7122,0.6982,0.6968,0.6989,0.6977,,0.698,0.6909,0.7013,0.6894,0.6893,0.7091,0.6657,0.6712,0.6853,0.6859,0.6729,0.6659,0.6867,0.6824,0.6684,0.6778,0.6745,0.6768,0.6732,0.6742,0.6716,0.6763,0.6767,0.6666,0.6744,0.6691,0.6718,0.675,0.6714,0.6608,0.6676,,,0.6636,0.6591,0.663,0.6616,0.6547,0.6546,0.6291,0.6442,0.6539,0.6455,0.6457,0.653,0.6315,0.6465,0.6655,0.6392,0.6409,0.6356,0.6298,0.6279,0.626,0.6264,0.632,0.6285,0.62,0.6103,0.6015,0.6026,0.5986,0.603,0.6112,0.5975,0.6258,0.5731,0.5842,0.5833,0.5927,0.5785,0.6129,0.5626,0.5594,0.5478,0.5054
2011 Score,0.853,0.8383,0.8404,0.8044,0.7685,0.783,0.781,0.7778,0.7627,0.7245,0.7531,0.7399,0.747,0.759,0.7394,0.7666,0.7478,0.7462,0.7165,0.7407,0.7216,0.727,0.7412,0.7291,0.7035,0.7251,0.6862,0.7131,0.717,0.758,0.7266,0.701,0.714,0.7236,0.6714,0.7372,0.7042,0.7041,0.685,0.734,,,0.6987,0.7177,0.7018,0.722,0.7028,0.7084,0.7006,0.6861,0.7144,0.7083,0.6926,0.7038,0.7212,0.6797,0.6966,0.6914,0.6983,,0.7037,0.6679,0.7036,0.6861,0.6892,0.6904,0.6573,0.6604,0.6866,0.6812,0.6796,0.6682,0.6732,0.6797,0.6812,0.6811,0.6907,0.6493,0.6567,0.6796,0.6916,0.6945,0.6789,0.6658,0.6832,0.6624,0.6642,0.6787,0.6818,0.6526,0.703,,,0.6654,0.6594,0.6567,0.648,0.6529,0.6577,0.6073,0.619,0.6525,0.6153,0.6464,0.6514,0.6011,0.6489,0.6748,0.6454,0.6395,0.6281,0.6232,0.63,0.6229,0.623,0.6322,0.6255,0.6136,0.6117,0.5954,0.5888,0.5873,0.6083,0.5991,0.5933,0.5832,0.5753,0.5752,0.5804,0.5894,0.5773,0.6164,0.5896,0.5334,0.5583,0.4873
2010 Score,0.8496,0.826,0.8404,0.8024,0.7654,0.7773,0.7808,0.7719,0.7562,0.7176,0.7509,0.7429,0.7444,0.753,0.7253,0.7678,0.7535,0.746,0.7091,0.7372,0.7231,,0.7411,0.7271,0.7072,0.7329,0.6751,0.7132,0.7176,0.7554,0.7194,0.7055,0.7194,0.7187,0.6927,0.7353,0.7072,0.7047,0.6824,0.7128,,,0.6983,0.7238,0.7025,0.7169,0.7037,0.709,0.6939,0.6863,0.7171,0.716,0.6957,0.7037,0.7458,0.6713,0.6996,0.6914,0.7018,,0.7036,0.6655,0.6973,0.6869,0.691,0.6829,0.6414,0.6577,0.6881,0.6826,0.6765,0.6774,0.6776,0.6778,0.6702,0.6782,0.6897,0.6499,0.6642,0.6895,0.6908,0.6927,0.685,0.6695,0.6876,0.6598,0.672,0.6748,0.6804,0.6598,0.7013,,,0.6669,0.6615,0.6596,0.6452,0.652,0.6446,0.611,0.6155,0.6479,0.6162,0.6482,0.6524,0.6055,0.6536,0.6726,0.6397,0.6407,0.6342,0.6217,0.6293,0.6238,0.6059,0.6318,0.6256,0.6019,0.6048,0.5876,0.6084,0.595,0.6084,0.6052,0.5899,0.5719,0.5713,0.568,0.5767,0.5933,0.5691,0.6152,0.5926,0.533,0.5465,0.4603
2009 Score,0.8276,0.8252,0.8227,0.8139,0.7579,0.7597,0.788,0.7628,0.7426,0.7002,0.7165,0.7416,0.749,0.7449,0.7176,0.7495,0.7709,0.7402,0.7031,0.7196,0.6889,,0.7173,0.7282,0.722,0.7195,0.6693,0.7175,0.7236,0.7345,0.718,0.7013,0.7221,0.7211,0.6939,0.7298,0.7024,0.6982,0.6738,0.7179,,,0.7072,0.7167,0.7331,0.7067,0.7013,0.7108,0.6944,0.6839,0.7013,0.7104,0.7019,0.6998,0.7402,0.6732,0.695,0.6664,0.7094,,0.6987,0.6695,0.7058,0.6896,0.6907,0.6797,0.6427,0.6503,0.6907,0.6805,0.6798,0.6859,0.6802,0.6845,0.6526,0.6704,0.6936,0.6512,0.6706,0.7024,0.6662,0.6893,0.6789,0.6635,0.7071,0.668,0.6879,0.6524,0.6868,0.6661,0.6884,,,0.6619,0.658,0.6939,0.6482,0.6513,0.6626,0.6108,0.6151,0.6467,0.6081,0.641,0.6447,0.628,0.6636,0.6601,0.6198,0.6726,0.6146,0.6136,0.631,0.6209,0.5907,0.6356,0.6414,0.5948,0.6182,0.5828,0.6213,0.5938,,0.6119,0.5862,0.5643,0.5651,0.586,0.5926,0.5839,,0.6103,0.6072,0.5417,0.5458,0.4609
2008 Score,0.7999,0.8195,0.8239,0.8139,0.7568,0.7518,0.7859,0.7538,0.736,0.6747,0.7163,0.7397,0.7399,0.7394,0.7195,0.732,0.7232,0.7366,0.7153,0.7136,0.6802,,0.7179,0.7241,0.7091,0.7266,0.6667,0.7222,0.7188,0.7281,0.7111,0.6976,0.7049,0.7209,0.6944,0.7245,0.7095,0.6937,0.6664,,,,0.7077,0.7141,0.7341,0.6981,0.698,,0.6967,0.6875,0.7051,0.7244,0.69,0.6951,0.7371,0.6736,0.6914,0.6625,0.7076,,0.6994,0.6737,0.7045,0.6856,0.6917,0.7068,,0.6441,0.6878,0.6763,0.6788,0.6744,0.6778,0.6824,0.6531,0.6679,0.6907,0.6547,0.6694,0.6959,0.6727,0.696,0.677,0.6634,0.6839,0.6654,0.6867,0.6392,0.6379,0.6541,0.6818,,,0.6677,0.6473,0.6875,0.6501,0.6466,0.6856,0.6017,0.606,0.6442,0.6029,0.6469,0.6434,0.6339,0.661,0.6591,0.622,0.6674,0.6154,0.5927,0.6205,0.6072,0.5948,0.6358,,0.5867,0.6275,0.5853,0.5942,0.596,,0.6111,0.5832,0.5582,0.5537,0.6117,0.5757,0.6021,,0.6117,0.6181,0.529,0.5549,0.4664
2007 Score,0.7836,0.8044,0.8059,0.8146,0.7629,0.7457,0.7649,0.7519,0.6924,0.6458,0.7198,0.7333,0.7383,0.7618,0.7169,0.7078,0.7194,0.7441,0.706,0.7198,0.6786,,0.7002,0.7204,0.6881,0.6883,0.6574,0.7234,,0.7444,0.7014,0.6983,0.6731,0.6982,0.709,0.6859,0.6954,0.6842,0.648,,,,0.7085,0.7012,0.6824,0.6833,0.6925,,0.721,0.6797,0.6959,0.7172,0.6965,0.6756,0.723,0.6461,0.6967,0.6609,0.7008,,0.6866,0.6637,0.6653,0.679,0.6815,0.6969,,0.6441,0.6643,0.6859,0.6498,0.6705,0.6889,0.6797,0.6314,0.6725,0.6608,0.6508,0.6522,0.6624,0.6648,0.6661,0.6718,0.6615,0.6797,0.6665,0.6731,,0.6659,0.6578,0.6482,,,0.6651,0.655,0.6853,0.635,0.6487,0.6781,0.5919,0.5936,0.6444,0.5912,0.6353,0.6455,0.6122,0.6426,0.6685,0.6184,0.6794,0.6409,0.5931,0.6288,0.6144,0.6041,0.6409,,0.5991,0.6203,0.5768,0.5575,0.5903,,0.6068,0.5809,0.5656,0.5647,0.6019,0.5676,0.5903,,0.6022,0.6216,0.5381,0.5509,0.451
2006 Score,0.7813,0.7958,0.7994,0.8133,0.7516,0.7335,0.7509,0.7462,0.6997,0.6566,0.7078,0.7091,0.725,0.7524,,0.6807,0.7125,0.7365,0.6986,0.7165,0.6671,,0.7042,0.7163,0.6433,,0.6335,0.7077,,0.7319,0.6936,0.6928,0.6821,0.6829,0.7049,0.6797,0.6935,0.6745,0.6437,,,,0.687,0.6864,0.652,0.6797,0.7014,,0.7145,0.6664,0.6922,0.7128,0.6889,0.6802,0.7199,0.6385,0.6983,0.655,0.6944,,0.677,0.6543,0.6742,0.6797,0.6831,0.7038,,0.6462,0.6561,0.6797,0.6456,0.6639,,0.6757,0.627,0.6653,0.6549,0.6486,0.643,0.6619,0.654,0.6483,0.6712,0.6518,0.6897,0.67,0.6698,,0.6556,,0.6455,,,,0.6541,0.6837,,0.6328,,0.5865,0.6011,0.6509,0.5854,0.6291,0.6447,0.6104,,0.6607,0.5919,,0.6157,0.5894,0.636,0.6067,,0.6341,,0.5946,0.6109,0.585,0.5478,,,0.6018,0.5786,0.578,0.5242,0.5996,0.5827,0.5803,,0.5835,,0.5247,0.5434,0.4595
