"S-no","Season","Episode","Name","Rating","Raters","Synopsis","Air-date"
"1","1","1","1:23:45","9.5","23,392","Plant workers and firefighters put their lives on the line to control a catastrophic April 1986 explosion at a Soviet nuclear power plant.","6 May 2019"
"2","1","2","Please Remain Calm","9.7","21,711","With untold millions at risk, Ulana makes a desperate attempt to reach Valery and warn him about the threat of a second explosion.","13 May 2019"
"3","1","3","Open Wide, O Earth","9.7","19,026","Valery creates a detailed plan to decontaminate Chernobyl; Lyudmilla ignores warnings about her firefighter husband's contamination.","20 May 2019"
"4","1","4","The Happiness of All Mankind","9.6","15,537","Valery and Boris attempt to find solutions to removing the radioactive debris; Ulana attempts to find out the cause of the explosion.","27 May 2019"
"5","1","5","Vichnaya Pamyat","9.9","5,791","Valery, Boris and Ulana risk their lives and reputations to expose the truth about Chernobyl.","3 Jun. 2019"
