"S-no","Season","Episode","Name","Rating","Raters","Synopsis","Air-date"
"45","5","5","Kill the Boy","8.7","21,723","Daenerys arrests the heads of Meereen's great families. Jon makes a difficult decision. Theon is forced to face Sansa. Stannis rides south. Tyrion and Jorah enter the ruins of Old Valyria.","10 May 2015"
"46","5","6","Unbowed, Unbent, Unbroken","8.1","24,691","Arya is put to the test. Tyrion and Jorah are captured by slavers. Loras Tyrell is judged by the Sparrows. Jaime and Bronn face the Sand Snakes. Sansa marries Ramsay Bolton.","17 May 2015"
"47","5","7","The Gift","9.1","23,839","Jon heads east as trouble begins to stir for Sam and Gilly at Castle Black. Sansa asks Theon for help. Tyrion and Jorah are sold as slaves. Cersei savors her triumph over the Tyrells as new plots are developed in the shadows.","24 May 2015"
"48","5","8","Hardhome","9.9","83,546","Tyrion advises Daenerys. Sansa forces Theon to tell her a secret. Cersei remains stubborn. Arya meets her first target. Jon and Tormund meet with the wildling elders.","31 May 2015"
"49","5","9","The Dance of Dragons","9.5","36,291","Jon and the wildlings return to Castle Black. Jaime meets with Doran Martell. Stannis makes a hard choice. Arya runs into Meryn Trant. Daenerys attends the grand reopening of the fighting pits.","7 Jun. 2015"
"50","5","10","Mother's Mercy","9.1","35,200","Stannis arrives at Winterfell. Tyrion runs Meereen as Daario and Jorah go after Daenerys. Jaime and Myrcella leave Dorne. Jon sends Sam and Gilly to Oldtown. Arya challenges the Many-Faced God. Cersei confesses her sins.","14 Jun. 2015"
"51","6","1","The Red Woman","8.6","34,229","The fate of Jon Snow is revealed. Daenerys is brought before Khal Moro. Tyrion gets used to living in Meereen. Ramsay sends his dogs after Theon and Sansa. Ellaria and the Sand Snakes make their move. Cersei mourns for Myrcella.","24 Apr. 2016"
"52","6","2","Home","9.4","40,523","Bran trains with the Three-Eyed Raven. Tommen meets with Cersei. Tyrion makes a bold move. Theon leaves while at Pyke new issues arise. Ramsay's brother is born. Davos asks Melisandre for a miracle.","1 May 2016"
"53","6","3","Oathbreaker","8.8","28,494","Daenerys arrives at Vaes Dothrak. Sam and Gilly sail for Horn Hill. Arya trains as No One. Varys finds information on the Sons of the Harpy. Ramsay receives a gift. Tommen meets with the High Sparrow. At Castle Black, a miracle occurs.","8 May 2016"
"54","6","4","Book of the Stranger","9.2","30,706","Sansa arrives at Castle Black. Tyrion makes a deal with the slave masters. Jorah and Daario sneak into Vaes Dothrak. Ramsay sends a letter to Jon. Theon arrives at Pyke. Cersei and Olenna Tyrell plot against the High Sparrow.","15 May 2016"
"55","6","5","The Door","9.7","61,033","Sansa and Jon make plans. Arya is given another chance to prove herself. Jorah confesses a secret to Daenerys. Tyrion meets with a red priestess. Yara finds her rule tested. Bran discovers the origin of the White Walkers.","22 May 2016"
"56","6","6","Blood of My Blood","8.5","28,296","Bran and Meera find a new ally. Gilly meets Sam's family. Arya makes a difficult choice. The Lannisters and Tyrells march against the High Sparrow.","29 May 2016"
"57","6","7","The Broken Man","8.7","27,456","Jon and Sansa gather troops. Jaime arrives at Riverrun. Olenna Tyrell plans to leave King's Landing. Theon and Yara plan a destination. Arya makes plans to leave.","5 Jun. 2016"
"58","6","8","No One","8.5","31,408","Brienne arrives at Riverrun. Arya seeks shelter. Jaime meets with Edmure Tully. Cersei challenges the Faith. Sandor Clegane hunts for revenge. Tyrion faces the consequences of earlier decisions.","12 Jun. 2016"
"59","6","9","Battle of the Bastards","9.9","179,509","Jon and Sansa face Ramsay Bolton on the fields of Winterfell. Daenerys strikes back at her enemies. Theon and Yara arrive in Meereen.","19 Jun. 2016"
"60","6","10","The Winds of Winter","9.9","124,276","Cersei and Loras Tyrell stand trial by the gods. Daenerys prepares to set sail for Westeros. Davos confronts Melisandre. Sam and Gilly arrive in the Citadel. Bran discovers a long-kept secret. Lord Frey has an uninvited guest.","26 Jun. 2016"
"61","7","1","Dragonstone","8.7","44,217","Jon organizes the North's defenses. Cersei tries to even the odds. Daenerys comes home. Arya reminds the Freys ""the North remembers."" Sam adapts to life in Oldtown. The Night King makes his way south.","16 Jul. 2017"
"62","7","2","Stormborn","9.0","37,943","Daenerys receives an unexpected visitor. Jon faces resistance. Tyrion plans the conquest of Westeros. Cersei gathers her allies. Arya has a reunion with old friends. Sam risks his career and life.","23 Jul. 2017"
"63","7","3","The Queen's Justice","9.2","39,583","Jon and Daenerys finally meet. Cersei gains a new ally. Sansa receives an unexpected visitor. Sam is confronted for his actions.","30 Jul. 2017"
"64","7","4","The Spoils of War","9.8","75,939","Daenerys takes matters into her own hands. Arya reaches her destination. Jaime and Bronn collect the spoils from the war with the Tyrells.","6 Aug. 2017"
"65","7","5","Eastwatch","8.9","37,645","Daenerys demands loyalty from the surviving Lannister soldiers; Jon heeds Bran's warning about White Walkers on the move; Cersei vows to vanquish anyone or anything that stands in her way.","13 Aug. 2017"
"66","7","6","Beyond the Wall","9.1","55,262","Jon and his team go beyond the wall to capture a wight. Daenerys has to make a tough decision.","20 Aug. 2017"
"67","7","7","The Dragon and the Wolf","9.5","54,733","Everyone meets in King's Landing to discuss the fate of the realm. In Winterfell, Sansa confronts Arya. Sam reaches Winterfell, where he and Bran discover a shocking secret about Jon Snow.","27 Aug. 2017"
"68","8","1","Winterfell","7.7","113,575","Jon and Daenerys arrive in Winterfell and are met with skepticism. Sam learns about the fate of his family. Cersei gives Euron the reward he aims for. Theon follows his heart.","15 Apr. 2019"
"69","8","2","A Knight of the Seven Kingdoms","8.0","111,429","Jaime faces judgment and Winterfell prepares for the battle to come.","21 Apr. 2019"
"70","8","3","The Long Night","7.6","190,042","The Night King and his army have arrived at Winterfell and the great battle begins.","28 Apr. 2019"
"71","8","4","The Last of the Starks","5.6","143,317","The Battle of Winterfell is over and a new chapter for Westeros begins.","5 May 2019"
"72","8","5","The Bells","6.2","166,830","Forces have arrived at Kings Landing for the final battle.","12 May 2019"
"73","8","6","The Iron Throne","4.3","200,040","In the aftermath of the devastating attack on King's Landing, Daenerys must face the survivors.","20 May 2019"
