"S-no","Season","Episode","Name","Rating","Raters","Synopsis","Air-date"
"35","4","2","Thirty-Eight Snub","8.2","10,864","Walt attempts to form a new alliance as he plans his next move. Meanwhile Skyler pushes Walt towards a business opportunity, in hopes of protecting the family.","24 Jul. 2011"
"36","4","3","Open House","7.9","10,969","While Walt worries about Gus's interference and Jesse's increasingly fragile state of mind, Skyler steps up the pressure to get what she wants.","31 Jul. 2011"
"37","4","4","Bullet Points","8.7","10,121","As Skyler concocts an elaborate story to explain the Whites' finances, a worried Walt discovers that Hank has begun a new investigation.","7 Aug. 2011"
"38","4","5","Shotgun","8.7","10,163","Jesse rides shotgun with Mike on a perilous run of pickups, prompting Walt to worry that his partner is about to be killed.","14 Aug. 2011"
"39","4","6","Cornered","8.5","10,293","Skyler adopts an aloof approach when she suspects that Walt isn't telling her the truth. Meanwhile, Jesse proves his worth to Mike and Gus.","21 Aug. 2011"
"40","4","7","Problem Dog","8.8","10,779","Skyler looks to continue her family's trend of appearing poverty-stricken by forcing Walt to return the car he bought. A concerned Walt chauffeurs Hank to Los Pollos Hermanos, and the articulate yet immobile DEA agent collects prints.","28 Aug. 2011"
"41","4","8","Hermanos","9.1","12,188","When Hank produces evidence that Gus is Albuquerque's crystal meth kingpin, Walt worries that he and Jesse will be killed to protect their boss.","4 Sep. 2011"
"42","4","9","Bug","8.8","10,875","While Walt tries to subvert Hank's probe into the Albuquerque meth scene, a deadly warning forces Gus to consider a deal with the cartel.","11 Sep. 2011"
"43","4","10","Salud","9.5","15,585","Jesse, Gus, and Mike fly down to Mexico, and Jesse cooks the blue meth for the cartel. Walt misses his son's 16th birthday after his fight with Jesse.","18 Sep. 2011"
"44","4","11","Crawl Space","9.5","17,904","Hank asks Walt to drive him to the laundry where the meth lab is hidden. Ted still won't pay the IRS so Skyler asks Saul for help, and Saul sends in his A-Team. Gus and Jesse return from Mexico, and Walt fears he is in trouble with Gus.","25 Sep. 2011"
"45","4","12","End Times","9.4","13,803","The DEA is putting Hank and his family in protective custody; however, Walt refuses and awaits his fate in his house. Meanwhile, Brock has fallen terribly ill and Jesse suspects Walt may be behind it.","2 Oct. 2011"
"46","4","13","Face Off","9.8","33,747","Jesse is brought to the FBI for questioning on his knowledge of ricin. In a last effort to kill Gus, Walt must ask for help from an old enemy.","9 Oct. 2011"
"47","5","1","Live Free or Die","9.2","15,856","Now that Gus is dead, Walt, Jesse, and Mike work to cover their tracks. Skyler panics when Ted Beneke wakes up.","15 Jul. 2012"
"48","5","2","Madrigal","8.8","13,094","Walt and Jesse seek out an unlikely partner for a new business venture. The DEA follows up new leads in its investigation.","22 Jul. 2012"
"49","5","3","Hazard Pay","8.8","12,631","The guys put a business plan into action; Walt confesses to Marie.","29 Jul. 2012"
"50","5","4","Fifty-One","8.8","12,705","It's Walt's 51st birthday. His return to the drug business causes Skyler to go into depression.","5 Aug. 2012"
"51","5","5","Dead Freight","9.5","19,358","Walter White's domestic life continues to deteriorate; at the same time, his growing business venture aims to steal a train car chock full of methylamine.","12 Aug. 2012"
"52","5","6","Buyout","8.8","13,062","In the aftermath of the train heist, Jesse and Mike decide to quit the business, leaving Walt to handle things on his own. Mike is being followed by the DEA.","19 Aug. 2012"
"53","5","7","Say My Name","9.4","16,816","Mike and Jesse are out. Now Walt has to handle things on his own. Hank finally finds a rat in Mike's gang.","26 Aug. 2012"
"54","5","8","Gliding Over All","9.5","17,808","Walt expands his business overseas, and the money is pouring in.","2 Sep. 2012"
"55","5","9","Blood Money","9.4","17,325","Walt is out of the meth business and trying to move on with his life. Jesse tries to get rid of his money. Hank now knows that Walt is the famous Heisenberg.","11 Aug. 2013"
"56","5","10","Buried","9.0","14,861","Hank is determined to bring down Walt. Walt scrambles to hide evidence before Hank gets to it, and Skyler tries to stop Hank and Marie from taking away the kids.","18 Aug. 2013"
"57","5","11","Confessions","9.5","18,604","Walt makes his next move against Hank, putting Hank in a tough position. Hank confronts Jesse and attempts to turn him against Walt, and Jesse decides it's time to move on. Meanwhile, Todd has taken over the business.","25 Aug. 2013"
"58","5","12","Rabid Dog","8.9","15,535","Walt discovers Jesse broke into his house and attempted to burn it down. Walt wants to protect his family so he moves them into a hotel for a few nights. Jesse makes plans to take down Walt.","1 Sep. 2013"
"59","5","13","To'hajiilee","9.7","26,790","Jesse and Hank come up with an idea to take Walt down. Walt hires Todd's uncle to kill Jesse.","8 Sep. 2013"
"60","5","14","Ozymandias","9.9","101,339","Walt goes on the run. Jesse is taken hostage. Marie convinces Skyler to tell Walter, Jr. the truth.","15 Sep. 2013"
"61","5","15","Granite State","9.5","26,971","Walt struggles as he adapts to aspects of his new identity. Jesse plans an escape against Jack and his crew.","22 Sep. 2013"
"62","5","16","Felina","9.9","73,428","Walter White makes one last attempt to secure his family's future, while also visiting some old enemies, during his final return to Albuquerque.","29 Sep. 2013"
